teochew,puj,mandarin,note
摆,pai2,,
拜,pai3,,
排,pai5,,
缚,pak8,捆,
放,pang3,,
*,pann1,,喇叭声
捌,pat4,认识,
捌,pat4,曾经,
爬,pe5,,
扒,pe5,,
掰,peh4,,
逼,pek4,,
煏,pek4,蒸烤,煏鱿鱼
愊,pek4,烦躁,愊过火
*,peng1,中暑,*着
扳,penn1,扳,用力拉扯
比,pi2,比较,
比,pi2,比划,只手比来比去
背,pi3,背负,
痹,pi3,,
避,pi7,,
*,pian1,扫打,*你两下灵精
变,pian3,,
拼,piann3,,
*,piann5,照搬,
*,pin6,从,*地块开始
变,pinn3,,
标,pio1,,标枪
漂,pio3,,
*,pit4,裂开,
保,po2,保护,
报,po3,,
*,poh4,,指教训小孩：拼*
拔,poih8,,
啵,pok8,,指接吻
*,pong1,打耳光,*你两下灵精
*,pong5,打气,给轮胎打气：*风
补,pou2,,
哺,pou7,咀嚼,
*,pu1,踢,踢开（小石块等细小物体）：*掉粒石
*,pu5,烧,*水；*汤
播,pua3,,
跋,puah8,摔跤,
博,puah8,赌,博钱；博扑克
搬,puann1,,
*,puann6,,抡着棍棒甩打：*你两下灵精
飞,pue1,,
㧳,pue2,掀开,分开、掀开、张开，并使掩藏着的东西露出来：个衫㧳起来（把衣服掀起来）
背,pue3,背诵,
陪,pue5,,
赔,pue5,,
焙,pue7,,
*,puh4,戳,用针、牙签等戳、刺
分,pun1,,
*,pun5,吹,吹风：*风
*,put4,清扫,用扫帚将垃圾清扫进畚斗：*掉撮垃圾
反,poinn2,,
*,pha1,,翻跟斗：pha1-sua1-lin1
拍,phah4,,
*,phak8,暴晒,
纺,phang2,,纺纱
纺,phang2,转圈,风扇在纺
趴,phat4,,
泡,phau6,,
*,phe6,荡,
拼,pheng1,,
聘,pheng3,,
披,phi1,,
*,phi5,打盹,
骗,phian3,,
*,phiat8,,甩：*落去
嫖,phiau5,,
*,phih4,趴,
鼻,phinn7,闻,
匹,phit4,比量,匹看地条裤大
覆,phiu3,,
*,phoi1,削,*苹果
办,phoinn7,,
*,phok4,,使膨胀
碰,phong3,,
铺,phou1,,
*,phu2,性交,
浮,phu5,,
*,phuah8,悬吊,
判,phuan3,,
盘,phuan5,围着,盘条围巾
判,phuann3,批改,
诐,phueh8,聊,诐话
呸,phui3,吐,呸涎
喷,phun3,,
*,ba7,拉扯,
睸,bai7,眯眼,
铆,bau2,揍,*你两下灵精
沕,bi7,潜水,
𰴕,bih4,躲藏,
瞄,bio5,,
买,boi2,,
卖,boi7,,
*,bu2,揍,*你两下灵精
磨,bua5,,
抹,buah4,,
忘,buang5,,
忘,buang6,,
*,bun3,钻,
吻,but4,,
*,ma1,遮盖,
埋,mai5,,
*,mak4,玩,特指小孩子玩泥巴、玩水：*水，*沙
网,mang6,,
梦,mang7,,
猫,mau1,,猫在被底
*,me1,抓,*一把沙
骂,me7,,
脉,meh8,把脉,
眯,mi1,,
免,mian2,,
免,min2,,
灭,mit8,,
问,mng7,,
*,moh4,发呆,
摸,mong5,,
望,monn7,,
*,mua1,包着,
物,mueh8,搞,
